value,Type,Severity,Created,Modified,Tag
maill-test.com,FQDN,Critical,17-10-23 23:38,09-08-25 21:04,"Network Type: network,Malware Family: BellaCiao"
b02fc0c242cbaea88dc35e9b352d1fea4efe499ac49022623a9d1ad31aaead46,SHA-256,High,13-04-25 12:47,08-08-25 12:23,"File Size: 1547102,File Type: Android,Malware Family: Coper,Malware Family: SmsThief"
42592bd173d222ac4647e9fc2651008e,MD5,High,28-05-25 5:03,08-08-25 12:23,"File Size: 1547102,File Type: Android,Malware Family: SmsThief,Malware Family: Coper"
43d7b50f66d01efc853f5ab64753cc151f6037f6,SHA-1,High,24-06-25 18:42,08-08-25 12:23,"File Type: Android,File Size: 1547102,Malware Family: SmsThief,Malware Family: Coper"
8.8.8.8,IP Address,Critical,17-12-24 5:11,08-08-25 1:04,
https://TEST.TEST,URL,Critical,05-08-25 15:11,05-08-25 16:04,
share-family.netlify.app,FQDN,Critical,23-07-25 20:45,24-07-25 3:37,
